year_month,year,month,source,count
2020-02,2020,2,titan,555
2020-03,2020,3,freedom_forever,60
2020-03,2020,3,records,17
2020-03,2020,3,solarcity,3
2020-03,2020,3,sullivan,28
2020-03,2020,3,sunrun,251
2020-03,2020,3,titan,751
2020-04,2020,4,freedom_forever,62
2020-04,2020,4,records,14
2020-04,2020,4,solarcity,7
2020-04,2020,4,sullivan,31
2020-04,2020,4,sunrun,292
2020-04,2020,4,titan,898
2020-05,2020,5,freedom_forever,82
2020-05,2020,5,records,39
2020-05,2020,5,solarcity,11
2020-05,2020,5,sullivan,42
2020-05,2020,5,sunrun,253
2020-05,2020,5,titan,743
2020-06,2020,6,freedom_forever,117
2020-06,2020,6,records,61
2020-06,2020,6,solarcity,12
2020-06,2020,6,sullivan,82
2020-06,2020,6,sunrun,271
2020-06,2020,6,titan,1108
2020-07,2020,7,freedom_forever,136
2020-07,2020,7,records,78
2020-07,2020,7,solarcity,23
2020-07,2020,7,sullivan,55
2020-07,2020,7,sunrun,272
2020-07,2020,7,titan,1060
2020-08,2020,8,freedom_forever,124
2020-08,2020,8,records,71
2020-08,2020,8,solarcity,11
2020-08,2020,8,sullivan,57
2020-08,2020,8,sunrun,256
2020-08,2020,8,titan,977
2020-09,2020,9,freedom_forever,108
2020-09,2020,9,records,93
2020-09,2020,9,solarcity,10
2020-09,2020,9,sullivan,71
2020-09,2020,9,sunrun,237
2020-09,2020,9,titan,1006
2020-10,2020,10,freedom_forever,108
2020-10,2020,10,records,109
2020-10,2020,10,solarcity,13
2020-10,2020,10,sullivan,101
2020-10,2020,10,sunrun,287
2020-10,2020,10,titan,1134
2020-11,2020,11,freedom_forever,90
2020-11,2020,11,records,137
2020-11,2020,11,solarcity,25
2020-11,2020,11,sullivan,70
2020-11,2020,11,sunrun,291
2020-11,2020,11,titan,1021
2020-12,2020,12,freedom_forever,101
2020-12,2020,12,records,133
2020-12,2020,12,solarcity,10
2020-12,2020,12,sullivan,67
2020-12,2020,12,sunrun,293
2020-12,2020,12,titan,988
2021-01,2021,1,freedom_forever,96
2021-01,2021,1,records,94
2021-01,2021,1,solarcity,13
2021-01,2021,1,sullivan,38
2021-01,2021,1,sunrun,254
2021-01,2021,1,titan,822
2021-02,2021,2,freedom_forever,91
2021-02,2021,2,records,65
2021-02,2021,2,solarcity,11
2021-02,2021,2,sullivan,27
2021-02,2021,2,sunrun,248
2021-02,2021,2,titan,1009
2021-03,2021,3,freedom_forever,110
2021-03,2021,3,records,106
2021-03,2021,3,solarcity,9
2021-03,2021,3,sullivan,49
